mod_qc_no,serial PRIMARY KEY,,
module_name,TEXT,,
final_grade,TEXT,,
comments_all,TEXT,,
proto_flatness,DOUBLE PRECISION,,
proto_thickness,DOUBLE PRECISION,,
proto_x_offset,DOUBLE PRECISION,,
proto_y_offset,DOUBLE PRECISION,,
proto_ang_offset,DOUBLE PRECISION,,
proto_grade,TEXT,,
module_flatness,DOUBLE PRECISION,,
module_thickness,DOUBLE PRECISION,,
module_x_offset,DOUBLE PRECISION,,
module_y_offset,DOUBLE PRECISION,,
module_ang_offset,DOUBLE PRECISION,,
module_grade,TEXT,,
back_wirebond_grade,TEXT,,
back_unbonded_count,SMALLINT,,
back_encap_grade,TEXT,,
front_pull_avg,DOUBLE PRECISION,,
front_pull_std,DOUBLE PRECISION,,
front_wirebond_grade,TEXT,,
front_encap_grade,TEXT,,
count_dead_chan,SMALLINT,,
list_dead_pad,SMALLINT[],,
list_ground_pad,SMALLINT[],,
iv_grade,TEXT,,
module_no,INT,fk_mod_qc,module_info
