$$ PartName=Step4_2_module_offsets
$$ Author=
$$ MeasurementDate=2023-11-20T14:55:54
$$ Description=
$$ ExportBy=ZONE3
Feat. Type,Feat. Name,Value,Actual,Nominal,Dev.,Tol-,Tol+,Out of Tol.,Comment,
,,FNAL3-2,FNAL3-2,,,,,,,
,,simurthy,simurthy,,,,,,,
,,LD,LD,,,,,,,
,,Full,Full,,,,,,,
,,200,200,,,,,,,
Point,Corner1,X,61.13673,56.91741,4.21932,0.00000,0.00000,,,
Point,Corner1,Y,322.91755,295.60010,27.31744,0.00000,0.00000,,,
Point,Corner1,Z,3.36535,3.26451,0.10084,0.00000,0.00000,,,
Point,Corner1,R,328.65398,301.02992,27.62407,0.00000,0.00000,,,
Point,Corner1,ANG,79.27930,79.10116,0.17814,0.00000,0.00000,,,
Point,Corner1,UNI,0.23370,0.00000,0.23370,0.00000,0.00000,,,
Point,Corner1,           ,102.00000,0.00000,102.00000,0.00000,0.00000,,,
Point,Corner4,X,221.44321,217.00214,4.44107,0.00000,0.00000,,,
Point,Corner4,Y,253.49612,225.92873,27.56739,0.00000,0.00000,,,
Point,Corner4,Z,3.34675,3.10472,0.24203,0.00000,0.00000,,,
Point,Corner4,R,336.59676,313.26302,23.33374,0.00000,0.00000,,,
Point,Corner4,ANG,48.86095,46.15455,2.70640,0.00000,0.00000,,,
Point,Corner4,UNI,0.29774,0.00000,0.29774,0.00000,0.00000,,,
Point,Corner4,           ,72.00000,0.00000,72.00000,0.00000,0.00000,,,
Point,Corner3,X,61.38974,60.89763,0.49211,0.00000,0.00000,,,
Point,Corner3,Y,252.93858,224.70656,28.23202,0.00000,0.00000,,,
Point,Corner3,Z,2.93962,-0.41703,-3.35665,0.00000,0.00000,,,
Point,Corner3,R,260.28182,232.81228,27.46953,0.00000,0.00000,,,
Point,Corner3,ANG,76.35775,74.83652,1.52123,0.00000,0.00000,,,
Point,Corner3,UNI,0.23322,0.00000,0.23322,0.00000,0.00000,,,
Point,Corner3,           ,88.00000,0.00000,88.00000,0.00000,0.00000,,,
Point,Corner2,X,221.12163,220.69705,0.42458,0.00000,0.00000,,,
Point,Corner2,Y,323.59511,295.12779,28.46732,0.00000,0.00000,,,
Point,Corner2,Z,3.71055,-0.48280,-4.19334,0.00000,0.00000,,,
Point,Corner2,R,391.92930,368.52083,23.40847,0.00000,0.00000,,,
Point,Corner2,ANG,55.65411,53.21080,2.44331,0.00000,0.00000,,,
Point,Corner2,UNI,0.28561,0.00000,0.28561,0.00000,0.00000,,,
Point,Corner2,           ,61.00000,0.00000,61.00000,0.00000,0.00000,,,
Point,ModuleThickness1,X,66.23005,55.00665,11.22340,0.00000,0.00000,,,
Point,ModuleThickness1,Y,241.32747,223.38520,17.94227,0.00000,0.00000,,,
Point,ModuleThickness1,Z,2.99928,1.57255,1.42673,0.00000,0.00000,,,
Point,ModuleThickness1,R,250.25061,230.05799,20.19262,0.00000,0.00000,,,
Point,ModuleThickness1,ANG,74.65355,76.16663,-1.51307,0.00000,0.00000,,,
Point,ModuleThickness1,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness1,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness2,X,61.17424,54.95387,6.22037,0.00000,0.00000,,,
Point,ModuleThickness2,Y,249.05517,260.39711,-11.34194,0.00000,0.00000,,,
Point,ModuleThickness2,Z,2.96558,1.59977,1.36581,0.00000,0.00000,,,
Point,ModuleThickness2,R,256.45812,266.13265,-9.67453,0.00000,0.00000,,,
Point,ModuleThickness2,ANG,76.19991,78.08323,-1.88332,0.00000,0.00000,,,
Point,ModuleThickness2,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness2,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness3,X,61.40930,54.90303,6.50627,0.00000,0.00000,,,
Point,ModuleThickness3,Y,289.51467,296.07305,-6.55838,0.00000,0.00000,,,
Point,ModuleThickness3,Z,3.09142,1.58581,1.50561,0.00000,0.00000,,,
Point,ModuleThickness3,R,295.95582,301.12056,-5.16474,0.00000,0.00000,,,
Point,ModuleThickness3,ANG,78.02442,79.49455,-1.47013,0.00000,0.00000,,,
Point,ModuleThickness3,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness3,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness4,X,61.05498,64.15252,-3.09754,0.00000,0.00000,,,
Point,ModuleThickness4,Y,326.82669,313.08647,13.74021,0.00000,0.00000,,,
Point,ModuleThickness4,Z,3.43631,1.58744,1.84887,0.00000,0.00000,,,
Point,ModuleThickness4,R,332.48067,319.59143,12.88923,0.00000,0.00000,,,
Point,ModuleThickness4,ANG,79.41846,78.42018,0.99828,0.00000,0.00000,,,
Point,ModuleThickness4,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness4,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness5,X,65.58826,96.03875,-30.45048,0.00000,0.00000,,,
Point,ModuleThickness5,Y,335.66428,331.49598,4.16830,0.00000,0.00000,,,
Point,ModuleThickness5,Z,3.55524,1.61155,1.94369,0.00000,0.00000,,,
Point,ModuleThickness5,R,342.01217,345.12755,-3.11538,0.00000,0.00000,,,
Point,ModuleThickness5,ANG,78.94380,73.84300,5.10079,0.00000,0.00000,,,
Point,ModuleThickness5,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness5,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness6,X,98.19753,127.12981,-28.93229,0.00000,0.00000,,,
Point,ModuleThickness6,Y,356.90399,349.89003,7.01396,0.00000,0.00000,,,
Point,ModuleThickness6,Z,3.86520,1.55675,2.30845,0.00000,0.00000,,,
Point,ModuleThickness6,R,370.16647,372.27009,-2.10362,0.00000,0.00000,,,
Point,ModuleThickness6,ANG,74.61645,70.03178,4.58467,0.00000,0.00000,,,
Point,ModuleThickness6,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness6,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness7,X,133.44036,146.42002,-12.97966,0.00000,0.00000,,,
Point,ModuleThickness7,Y,376.60906,349.75618,26.85288,0.00000,0.00000,,,
Point,ModuleThickness7,Z,4.22881,1.54151,2.68730,0.00000,0.00000,,,
Point,ModuleThickness7,R,399.55064,379.16778,20.38286,0.00000,0.00000,,,
Point,ModuleThickness7,ANG,70.48971,67.28413,3.20558,0.00000,0.00000,,,
Point,ModuleThickness7,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness7,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness8,X,147.96087,172.43036,-24.46948,0.00000,0.00000,,,
Point,ModuleThickness8,Y,376.74427,335.03151,41.71277,0.00000,0.00000,,,
Point,ModuleThickness8,Z,4.27825,1.55081,2.72744,0.00000,0.00000,,,
Point,ModuleThickness8,R,404.75754,376.80013,27.95741,0.00000,0.00000,,,
Point,ModuleThickness8,ANG,68.55830,62.76652,5.79178,0.00000,0.00000,,,
Point,ModuleThickness8,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness8,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness9,X,178.29833,209.63021,-31.33188,0.00000,0.00000,,,
Point,ModuleThickness9,Y,360.28361,313.75451,46.52910,0.00000,0.00000,,,
Point,ModuleThickness9,Z,4.02396,1.54709,2.47687,0.00000,0.00000,,,
Point,ModuleThickness9,R,401.98827,377.34164,24.64663,0.00000,0.00000,,,
Point,ModuleThickness9,ANG,63.66996,56.25175,7.41821,0.00000,0.00000,,,
Point,ModuleThickness9,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness9,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness10,X,213.41763,218.95091,-5.53328,0.00000,0.00000,,,
Point,ModuleThickness10,Y,340.46749,298.69058,41.77691,0.00000,0.00000,,,
Point,ModuleThickness10,Z,3.89143,1.57866,2.31277,0.00000,0.00000,,,
Point,ModuleThickness10,R,401.82732,370.34519,31.48213,0.00000,0.00000,,,
Point,ModuleThickness10,ANG,57.91899,53.75725,4.16174,0.00000,0.00000,,,
Point,ModuleThickness10,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness10,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness11,X,221.37268,219.12775,2.24493,0.00000,0.00000,,,
Point,ModuleThickness11,Y,327.02225,267.09389,59.92836,0.00000,0.00000,,,
Point,ModuleThickness11,Z,3.75952,1.67096,2.08855,0.00000,0.00000,,,
Point,ModuleThickness11,R,394.90431,345.47955,49.42477,0.00000,0.00000,,,
Point,ModuleThickness11,ANG,55.90457,50.63404,5.27053,0.00000,0.00000,,,
Point,ModuleThickness11,UNI,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Point,ModuleThickness11,           ,1.00000,0.00000,1.00000,0.00000,0.00000,,,
Point,ModuleThickness12,X,216.62838,219.36464,-2.73626,0.00000,0.00000,,,
Point,ModuleThickness12,Y,285.81075,224.91231,60.89844,0.00000,0.00000,,,
Point,ModuleThickness12,Z,3.42937,1.71905,1.71032,0.00000,0.00000,,,
