$$ PartName=frontside_inspection
$$ Author=
$$ MeasurementDate=2023-06-13T12:25:57
$$ Description=
$$ ExportBy=ZONE3
Feat. Type;Feat. Name;Value;Actual;Nominal;Dev.;Tol-;Tol+;Out of Tol.;Comment
Circle;88_103_104;X;0.03794;-0.00005;-0.03799;0.00000;0.00000;;
Circle;88_103_104;Y;0.01112;-0.00004;-0.01116;0.00000;0.00000;;
Circle;Circle102;X;-20.05029;-20.11953;-0.06924;0.00000;0.00000;;
Circle;Circle102;Y;81.46033;81.43084;0.02949;0.00000;0.00000;;
Circle;Circle103;X;-82.56061;-82.58119;-0.02058;0.00000;0.00000;;
Circle;Circle103;Y;19.82958;19.77347;0.05611;0.00000;0.00000;;
Circle;Circle104;X;-60.47079;-60.45973;0.01106;0.00000;0.00000;;
Circle;Circle104;Y;-58.12314;-58.16140;-0.03826;0.00000;0.00000;;
Circle;Circle105;X;24.12559;24.16443;-0.03884;0.00000;0.00000;;
Circle;Circle105;Y;-81.56698;-81.41390;0.15309;0.00000;0.00000;;
Circle;Circle106;X;80.66623;80.61611;0.05012;0.00000;0.00000;;
Circle;Circle106;Y;-23.32349;-23.30056;0.02293;0.00000;0.00000;;
Circle;Circle107;X;58.51301;58.42561;0.08740;0.00000;0.00000;;
Circle;Circle107;Y;61.62927;61.63931;-0.01004;0.00000;0.00000;;
Circle;Circle108;X;-12.01805;-12.08426;-0.06621;0.00000;0.00000;;
Circle;Circle108;Y;34.73385;34.88119;-0.14734;0.00000;0.00000;;
Circle;Circle109;X;24.22832;24.14958;0.07874;0.00000;0.00000;;
Circle;Circle109;Y;62.80469;62.79910;0.00559;0.00000;0.00000;;
Circle;Circle110;X;-42.23494;-42.29448;-0.05954;0.00000;0.00000;;
Circle;Circle110;Y;73.29005;73.25521;0.03484;0.00000;0.00000;;
Circle;Circle111;X;-12.01278;-12.08450;-0.07172;0.00000;0.00000;;
Circle;Circle111;Y;76.76387;76.74189;0.02198;0.00000;0.00000;;
Circle;Circle112;X;12.16613;12.08350;0.08263;0.00000;0.00000;;
Circle;Circle112;Y;76.75773;76.74253;0.01519;0.00000;0.00000;;
Circle;Circle113;X;30.29654;30.20952;0.08702;0.00000;0.00000;;
Circle;Circle113;Y;73.26321;73.25564;0.00757;0.00000;0.00000;;
Circle;Circle114;X;42.38438;42.29352;0.09086;0.00000;0.00000;;
Circle;Circle114;Y;73.25733;73.25621;0.00111;0.00000;0.00000;;
Circle;Circle115;X;48.41706;48.33562;0.08144;0.00000;0.00000;;
Circle;Circle115;Y;55.81053;55.81265;-0.00212;0.00000;0.00000;;
Circle;Circle116;X;-24.26855;-24.16838;0.10017;0.00000;0.00000;;
Circle;Circle116;Y;55.84333;55.81122;0.03211;0.00000;0.00000;;
Circle;Circle117;X;-48.28656;-48.33638;-0.04982;0.00000;0.00000;;
Circle;Circle117;Y;55.84289;55.81108;0.03181;0.00000;0.00000;;
Circle;Circle118;X;-66.38793;-66.46224;-0.07430;0.00000;0.00000;;
Circle;Circle118;Y;31.40663;31.39457;0.01206;0.00000;0.00000;;
Circle;Circle119;X;-36.20936;-36.25226;-0.04290;0.00000;0.00000;;
Circle;Circle119;Y;34.91198;34.88105;0.03094;0.00000;0.00000;;
Circle;Circle120;X;-24.13135;-24.17017;-0.03882;0.00000;0.00000;;
Circle;Circle120;Y;20.95122;20.92882;0.02240;0.00000;0.00000;;
Circle;Circle121;X;6.09898;6.03976;0.05921;0.00000;0.00000;;
Circle;Circle121;Y;31.40387;31.39230;0.01157;0.00000;0.00000;;
Circle;Circle122;X;12.13838;12.08383;0.05455;0.00000;0.00000;;
Circle;Circle122;Y;20.93937;20.93003;0.00933;0.00000;0.00000;;
Circle;Circle123;X;18.12092;18.12568;-0.00476;0.00000;0.00000;;
Circle;Circle123;Y;45.18224;45.34707;-0.16483;0.00000;0.00000;;
Circle;Circle124;X;30.27141;30.20981;0.06160;0.00000;0.00000;;
Circle;Circle124;Y;24.41998;24.41714;0.00284;0.00000;0.00000;;
Circle;Circle125;X;36.32297;36.25170;0.07127;0.00000;0.00000;;
Circle;Circle125;Y;41.86217;41.86018;0.00199;0.00000;0.00000;;
Circle;Circle126;X;-12.04259;-12.08413;-0.04155;0.00000;0.00000;;
Circle;Circle126;Y;13.96882;13.95209;0.01673;0.00000;0.00000;;
Circle;Circle127;X;78.61397;78.54593;0.06805;0.00000;0.00000;;
Circle;Circle127;Y;3.46434;3.48663;-0.02229;0.00000;0.00000;;
Circle;Circle128;X;60.66551;60.41999;0.24552;0.00000;0.00000;;
Circle;Circle128;Y;-7.08256;-6.97748;0.10508;0.00000;0.00000;;
Circle;Circle129;X;36.31663;36.25199;0.06464;0.00000;0.00000;;
Circle;Circle129;Y;-7.20594;-6.97782;0.22811;0.00000;0.00000;;
Circle;Circle130;X;-24.14361;-24.17001;-0.02640;0.00000;0.00000;;
Circle;Circle130;Y;-6.96296;-6.98118;-0.01822;0.00000;0.00000;;
Circle;Circle131;X;-36.25169;-36.25176;-0.00007;0.00000;0.00000;;
Circle;Circle131;Y;-48.81170;-48.83825;-0.02656;0.00000;0.00000;;
Circle;Circle132;X;-24.15343;-24.16789;-0.01445;0.00000;0.00000;;
Circle;Circle132;Y;-27.89073;-27.90908;-0.01835;0.00000;0.00000;;
Circle;Circle133;X;48.37446;48.33607;0.03839;0.00000;0.00000;;
Circle;Circle133;Y;-20.94439;-20.92975;0.01464;0.00000;0.00000;;
Circle;Circle134;X;24.20516;24.16807;0.03709;0.00000;0.00000;;
Circle;Circle134;Y;-20.93017;-20.92990;0.00027;0.00000;0.00000;;
Circle;Circle135;X;-6.01834;-6.03986;-0.02153;0.00000;0.00000;;
Circle;Circle135;Y;-31.38781;-31.39607;-0.00826;0.00000;0.00000;;
Circle;Circle136;X;-24.12179;-24.16850;-0.04671;0.00000;0.00000;;
Circle;Circle136;Y;76.99437;76.74182;0.25256;0.00000;0.00000;;
Circle;Circle137;X;60.45500;60.39970;0.05530;0.00000;0.00000;;
Circle;Circle137;Y;41.76673;41.84982;-0.08309;0.00000;0.00000;;
Circle;Circle138;X;-5.97684;-6.04036;-0.06352;0.00000;0.00000;;
Circle;Circle138;Y;52.34630;52.32633;0.01997;0.00000;0.00000;;
Circle;Circle139;X;66.36801;66.46171;-0.09370;0.00000;0.00000;;
Circle;Circle139;Y;24.24053;24.41715;-0.17663;0.00000;0.00000;;
Circle;Circle140;X;48.40679;48.33574;0.07104;0.00000;0.00000;;
Circle;Circle140;Y;34.87461;34.88205;-0.00744;0.00000;0.00000;;
Circle;Circle141;X;-60.21653;-60.42017;-0.20364;0.00000;0.00000;;
Circle;Circle141;Y;20.96443;20.92860;0.03583;0.00000;0.00000;;
Circle;Circle142;X;-54.35533;-54.38011;-0.02478;0.00000;0.00000;;
Circle;Circle142;Y;10.49814;10.46364;0.03450;0.00000;0.00000;;
Circle;Circle143;X;-42.27180;-42.30011;-0.02831;0.00000;0.00000;;
Circle;Circle143;Y;10.48322;10.44921;0.03401;0.00000;0.00000;;
Circle;Circle144;X;48.37077;48.33587;0.03491;0.00000;0.00000;;
Circle;Circle144;Y;13.66541;13.95195;-0.28653;0.00000;0.00000;;
Circle;Circle145;X;60.48645;60.41987;0.06658;0.00000;0.00000;;
Circle;Circle145;Y;13.94112;13.95202;-0.01090;0.00000;0.00000;;
Circle;Circle146;X;72.57182;72.49983;0.07199;0.00000;0.00000;;
Circle;Circle146;Y;20.93438;20.94989;-0.01551;0.00000;0.00000;;
Circle;Circle147;X;30.25654;30.19989;0.05665;0.00000;0.00000;;
Circle;Circle147;Y;10.44816;10.44964;-0.00148;0.00000;0.00000;;
Circle;Circle148;X;18.25350;18.12593;0.12757;0.00000;0.00000;;
Circle;Circle148;Y;3.23394;3.48677;-0.25282;0.00000;0.00000;;
Circle;Circle149;X;-30.18051;-30.21007;-0.02956;0.00000;0.00000;;
Circle;Circle149;Y;3.51224;3.48648;0.02575;0.00000;0.00000;;
