$$ PartName=PCB baseplate backside - unconstrained shape - V6
$$ Author=
$$ MeasurementDate=2023-06-21T14:14:06
$$ Description=
$$ ExportBy=ZONE3
Feat. Type;Feat. Name;Value;Actual;Nominal;Dev.;Tol-;Tol+;Out of Tol.;Comment
;;V6;V6;;;;;;
Point;BacksideSurface1;X;44.46611;44.46458;0.00153;0.00000;0.00000;;
Point;BacksideSurface1;Y;81.32287;81.32177;0.00110;0.00000;0.00000;;
Point;BacksideSurface1;Z;1.27206;1.32339;-0.05133;0.00000;0.00000;;
Point;BacksideSurface2;X;-0.03441;-0.00911;0.02530;0.00000;0.00000;;
Point;BacksideSurface2;Y;80.79248;80.87232;-0.07983;0.00000;0.00000;;
Point;BacksideSurface2;Z;1.30494;1.17773;0.12721;0.00000;0.00000;;
Point;BacksideSurface3;X;-44.20865;-44.17942;0.02923;0.00000;0.00000;;
Point;BacksideSurface3;Y;81.93802;81.95773;-0.01971;0.00000;0.00000;;
Point;BacksideSurface3;Z;1.27879;1.17773;0.10105;0.00000;0.00000;;
Point;BacksideSurface4;X;-48.33687;-48.32123;0.01564;0.00000;0.00000;;
Point;BacksideSurface4;Y;78.20547;78.22433;-0.01886;0.00000;0.00000;;
Point;BacksideSurface4;Z;1.29110;1.17773;0.11337;0.00000;0.00000;;
Point;BacksideSurface5;X;-69.27571;-66.53739;2.73831;0.00000;0.00000;;
Point;BacksideSurface5;Y;42.21558;40.75527;1.46031;0.00000;0.00000;;
Point;BacksideSurface5;Z;1.39018;1.17773;0.21244;0.00000;0.00000;;
Point;BacksideSurface6;X;-91.44617;-91.44676;-0.00059;0.00000;0.00000;;
Point;BacksideSurface6;Y;2.88174;2.91428;-0.03254;0.00000;0.00000;;
Point;BacksideSurface6;Z;1.36004;1.17773;0.18231;0.00000;0.00000;;
Point;BacksideSurface7;X;-92.89548;-92.93103;-0.03555;0.00000;0.00000;;
Point;BacksideSurface7;Y;-2.33537;-2.31022;0.02515;0.00000;0.00000;;
Point;BacksideSurface7;Z;1.34948;1.17773;0.17174;0.00000;0.00000;;
Point;BacksideSurface8;X;-70.53176;-70.54258;-0.01081;0.00000;0.00000;;
Point;BacksideSurface8;Y;-39.17815;-39.15405;0.02410;0.00000;0.00000;;
Point;BacksideSurface8;Z;1.40436;1.17773;0.22662;0.00000;0.00000;;
Point;BacksideSurface9;X;-48.50607;-48.53963;-0.03356;0.00000;0.00000;;
Point;BacksideSurface9;Y;-79.76195;-79.73664;0.02532;0.00000;0.00000;;
Point;BacksideSurface9;Z;1.35648;1.17773;0.17875;0.00000;0.00000;;
Point;BacksideSurface10;X;-43.39419;-43.41231;-0.01811;0.00000;0.00000;;
Point;BacksideSurface10;Y;-82.08974;-82.09704;-0.00729;0.00000;0.00000;;
Point;BacksideSurface10;Z;1.35771;1.17773;0.17998;0.00000;0.00000;;
Point;BacksideSurface11;X;0.86690;0.85096;0.01593;0.00000;0.00000;;
Point;BacksideSurface11;Y;-81.71736;-81.72962;-0.01225;0.00000;0.00000;;
Point;BacksideSurface11;Z;1.40589;1.17773;0.22815;0.00000;0.00000;;
Point;BacksideSurface12;X;43.97835;43.98123;-0.00289;0.00000;0.00000;;
Point;BacksideSurface12;Y;-82.17427;-82.16880;0.00547;0.00000;0.00000;;
